abbreviation,location,location_name,population
US,US,US,332875137
AL,01,Alabama,4903185
AK,02,Alaska,731545
AZ,04,Arizona,7278717
AR,05,Arkansas,3017804
CA,06,California,39512223
CO,08,Colorado,5758736
CT,09,Connecticut,3565287
DE,10,Delaware,973764
DC,11,District of Columbia,705749
FL,12,Florida,21477737
GA,13,Georgia,10617423
HI,15,Hawaii,1415872
ID,16,Idaho,1787065
IL,17,Illinois,12671821
IN,18,Indiana,6732219
IA,19,Iowa,3155070
KS,20,Kansas,2913314
KY,21,Kentucky,4467673
LA,22,Louisiana,4648794
ME,23,Maine,1344212
MD,24,Maryland,6045680
MA,25,Massachusetts,6892503
MI,26,Michigan,9986857
MN,27,Minnesota,5639632
MS,28,Mississippi,2976149
MO,29,Missouri,6626371
MT,30,Montana,1068778
NE,31,Nebraska,1934408
NV,32,Nevada,3080156
NH,33,New Hampshire,1359711
NJ,34,New Jersey,8882190
NM,35,New Mexico,2096829
NY,36,New York,19453561
NC,37,North Carolina,10488084
ND,38,North Dakota,762062
OH,39,Ohio,11689100
OK,40,Oklahoma,3956971
OR,41,Oregon,4217737
PA,42,Pennsylvania,12801989
RI,44,Rhode Island,1059361
SC,45,South Carolina,5148714
SD,46,South Dakota,884659
TN,47,Tennessee,6829174
TX,48,Texas,28995881
UT,49,Utah,3205958
VT,50,Vermont,623989
VA,51,Virginia,8535519
WA,53,Washington,7614893
WV,54,West Virginia,1792147
WI,55,Wisconsin,5822434
WY,56,Wyoming,578759
AS,60,American Samoa,55641
GU,66,Guam,164229
MP,69,Northern Mariana Islands,55144
PR,72,Puerto Rico,3754939
UM,74,U.S. Minor Outlying Islands,NA
VI,78,Virgin Islands,107268
NA,01001,Autauga County,55869
NA,01003,Baldwin County,223234
NA,01005,Barbour County,24686
NA,01007,Bibb County,22394
NA,01009,Blount County,57826
NA,01011,Bullock County,10101
NA,01013,Butler County,19448
NA,01015,Calhoun County,113605
NA,01017,Chambers County,33254
NA,01019,Cherokee County,26196
NA,01021,Chilton County,44428
NA,01023,Choctaw County,12589
NA,01025,Clarke County,23622
NA,01027,Clay County,13235
NA,01029,Cleburne County,14910
NA,01031,Coffee County,52342
NA,01033,Colbert County,55241
NA,01035,Conecuh County,12067
NA,01037,Coosa County,10663
NA,01039,Covington County,37049
NA,01041,Crenshaw County,13772
NA,01043,Cullman County,83768
NA,01045,Dale County,49172
NA,01047,Dallas County,37196
NA,01049,DeKalb County,71513
NA,01051,Elmore County,81209
