file,ok,n_in,n_out,n_dropped_round,point_output_type,round,error
../covid19-forecast-hub/data-processed/AIMdyn-SlidingKoopman/2023-01-21-AIMdyn-SlidingKoopman.csv,TRUE,4,4,0,mean,R2,NA
../covid19-forecast-hub/data-processed/AIMdyn-SlidingKoopman/2023-01-29-AIMdyn-SlidingKoopman.csv,TRUE,4,4,0,mean,R2,NA
../covid19-forecast-hub/data-processed/AIMdyn-SlidingKoopman/2023-02-05-AIMdyn-SlidingKoopman.csv,TRUE,4,4,0,mean,R2,NA
../covid19-forecast-hub/data-processed/AIMdyn-SlidingKoopman/2023-02-12-AIMdyn-SlidingKoopman.csv,TRUE,4,4,0,mean,R2,NA
../covid19-forecast-hub/data-processed/AIMdyn-SlidingKoopman/2023-02-19-AIMdyn-SlidingKoopman.csv,TRUE,4,4,0,mean,R2,NA
../covid19-forecast-hub/data-processed/AIMdyn-SlidingKoopman/2023-02-26-AIMdyn-SlidingKoopman.csv,TRUE,4,4,0,mean,R2,NA
../covid19-forecast-hub/data-processed/AIMdyn-SlidingKoopman/2023-03-06-AIMdyn-SlidingKoopman.csv,FALSE,NA,NA,NA,NA,NA,no rows match round R3 active targets (4 dropped)
../covid19-forecast-hub/data-processed/AIpert-pwllnod/2020-12-21-AIpert-pwllnod.csv,TRUE,896,896,0,mean,R2,NA
../covid19-forecast-hub/data-processed/AIpert-pwllnod/2020-12-28-AIpert-pwllnod.csv,TRUE,896,896,0,mean,R2,NA
../covid19-forecast-hub/data-processed/AIpert-pwllnod/2021-01-04-AIpert-pwllnod.csv,TRUE,896,896,0,mean,R2,NA
../covid19-forecast-hub/data-processed/AIpert-pwllnod/2021-01-11-AIpert-pwllnod.csv,TRUE,2688,2688,0,mean,R2,NA
../covid19-forecast-hub/data-processed/AIpert-pwllnod/2021-01-18-AIpert-pwllnod.csv,TRUE,2688,2688,0,mean,R2,NA
../covid19-forecast-hub/data-processed/AIpert-pwllnod/2021-01-25-AIpert-pwllnod.csv,TRUE,4480,4480,0,mean,R2,NA
../covid19-forecast-hub/data-processed/AIpert-pwllnod/2021-02-01-AIpert-pwllnod.csv,TRUE,4480,4480,0,mean,R2,NA
../covid19-forecast-hub/data-processed/AIpert-pwllnod/2021-02-08-AIpert-pwllnod.csv,TRUE,4480,4480,0,mean,R2,NA
../covid19-forecast-hub/data-processed/AIpert-pwllnod/2021-02-15-AIpert-pwllnod.csv,TRUE,4480,4480,0,mean,R2,NA
../covid19-forecast-hub/data-processed/AIpert-pwllnod/2021-02-22-AIpert-pwllnod.csv,TRUE,4400,4400,0,mean,R2,NA
../covid19-forecast-hub/data-processed/AIpert-pwllnod/2021-03-01-AIpert-pwllnod.csv,TRUE,4480,4480,0,mean,R2,NA
../covid19-forecast-hub/data-processed/AIpert-pwllnod/2021-03-08-AIpert-pwllnod.csv,TRUE,4480,4480,0,mean,R2,NA
../covid19-forecast-hub/data-processed/AIpert-pwllnod/2021-03-15-AIpert-pwllnod.csv,TRUE,4480,4480,0,mean,R2,NA
../covid19-forecast-hub/data-processed/AIpert-pwllnod/2021-03-22-AIpert-pwllnod.csv,TRUE,4480,4480,0,mean,R2,NA
../covid19-forecast-hub/data-processed/AIpert-pwllnod/2021-03-29-AIpert-pwllnod.csv,TRUE,4480,4480,0,mean,R2,NA
../covid19-forecast-hub/data-processed/AIpert-pwllnod/2021-04-05-AIpert-pwllnod.csv,TRUE,4480,4480,0,mean,R2,NA
../covid19-forecast-hub/data-processed/AIpert-pwllnod/2021-04-12-AIpert-pwllnod.csv,TRUE,4480,4480,0,mean,R2,NA
../covid19-forecast-hub/data-processed/AIpert-pwllnod/2021-04-19-AIpert-pwllnod.csv,TRUE,4478,4478,0,mean,R2,NA
../covid19-forecast-hub/data-processed/AIpert-pwllnod/2021-04-26-AIpert-pwllnod.csv,TRUE,4480,4480,0,mean,R2,NA
../covid19-forecast-hub/data-processed/AIpert-pwllnod/2021-05-03-AIpert-pwllnod.csv,TRUE,4480,4480,0,mean,R2,NA
../covid19-forecast-hub/data-processed/AIpert-pwllnod/2021-05-10-AIpert-pwllnod.csv,TRUE,4480,4480,0,mean,R2,NA
