team_model,phase,ok,message
AIMdyn-SlidingKoopman,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/AIMdyn-SlidingKoopman.yml
AIpert-pwllnod,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/AIpert-pwllnod.yml
AMM-EpiInvert,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/AMM-EpiInvert.yml
Auquan-SEIR,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/Auquan-SEIR.yml
BPagano-RtDriven,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/BPagano-RtDriven.yml
Caltech-CS156,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/Caltech-CS156.yml
CDDEP-SEIR_MCMC,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/CDDEP-SEIR_MCMC.yml
CEID-Walk,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/CEID-Walk.yml
CEPH-Rtrend_covid,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/CEPH-Rtrend_covid.yml
cfa-wwrenewal,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/cfa-wwrenewal.yml
CMU-TimeSeries,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/CMU-TimeSeries.yml
Columbia_UNC-SurvCon,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/Columbia_UNC-SurvCon.yml
Covid19Sim-Simulator,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/Covid19Sim-Simulator.yml
CovidActNow-SEIR_CAN,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/CovidActNow-SEIR_CAN.yml
CovidAnalytics-DELPHI,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/CovidAnalytics-DELPHI.yml
COVIDhub_CDC-ensemble,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/COVIDhub_CDC-ensemble.yml
COVIDhub-4_week_ensemble,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/COVIDhub-4_week_ensemble.yml
COVIDhub-baseline,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/COVIDhub-baseline.yml
COVIDhub-ensemble,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/COVIDhub-ensemble.yml
COVIDhub-trained_ensemble,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/COVIDhub-trained_ensemble.yml
