team_model,min_anchors,n_files,n_files_with_imputation,n_files_with_group_drops,n_files_all_quantile_groups_dropped,n_files_validation_ok_after_fix,rows_imputed_sum,rows_dropped_sum
AIpert-pwllnod,2,3,0,3,3,3,0,7166
AIpert-pwllnod,4,24,0,24,24,24,0,85952
Auquan-SEIR,7,5,5,0,0,5,26624,0
COVIDhub-4_week_ensemble,3,1,0,1,1,1,0,936
COVIDhub-ensemble,3,1,0,1,1,1,0,936
COVIDhub_CDC-ensemble,3,1,0,1,1,1,0,936
Columbia_UNC-SurvCon,7,1,1,0,0,1,2,0
Covid19Sim-Simulator,7,1,1,0,0,1,895,0
CovidActNow-SEIR_CAN,7,1,1,0,0,1,4896,0
Google_Harvard-CPF,3,1,0,1,1,1,0,4743
IHME-CurveFit,2,16,0,16,16,16,0,26274
IowaStateLW-STEM,2,2,0,2,2,2,0,3564
JHU_CSSE-DECOM,6,2,2,0,0,2,87,0
JHU_UNC_GAS-StatMechPool,5,1,1,0,0,1,19368,0
JHU_UNC_GAS-StatMechPool,7,2,2,0,0,2,6528,0
LANL-GrowthRate,21,2,2,0,0,2,1378,0
LNQ-ens1,7,29,29,0,0,29,200640,0
MOBS-GLEAM_COVID,3,1,0,1,1,1,0,540
MOBS-GLEAM_COVID,7,1,1,0,0,1,5760,0
QJHong-Encounter,2,24,0,24,24,24,0,1368
QJHong-Encounter,4,2,0,2,2,2,0,88
UChicagoCHATTOPADHYAY-UnIT,7,49,49,0,0,49,81536,0
UMass-MechBayes,22,2,2,0,0,2,912,0
UMich-RidgeTfReg,6,16,16,0,0,16,2928,0
