file,fail_type,n_groups,min_anchors_in_any_group,pct_groups_below_5,eligible_for_distfromq
AIpert-pwllnod/2021-01-11-AIpert-pwllnod.parquet,incomplete,896,2,1,FALSE
JHU_CSSE-DECOM/2022-01-23-JHU_CSSE-DECOM.parquet,incomplete,422,6,0,TRUE
UMich-RidgeTfReg/2020-07-27-UMich-RidgeTfReg.parquet,incomplete,340,6,0,TRUE
AIpert-pwllnod/2021-01-18-AIpert-pwllnod.parquet,incomplete,896,2,1,FALSE
JHU_CSSE-DECOM/2022-01-30-JHU_CSSE-DECOM.parquet,incomplete,445,6,0,TRUE
UMich-RidgeTfReg/2020-08-03-UMich-RidgeTfReg.parquet,incomplete,364,6,0,TRUE
AIpert-pwllnod/2021-01-25-AIpert-pwllnod.parquet,incomplete,896,4,1,FALSE
UMich-RidgeTfReg/2020-08-10-UMich-RidgeTfReg.parquet,incomplete,560,6,0,TRUE
AIpert-pwllnod/2021-02-01-AIpert-pwllnod.parquet,incomplete,896,4,1,FALSE
UMich-RidgeTfReg/2020-08-17-UMich-RidgeTfReg.parquet,incomplete,468,6,0,TRUE
AIpert-pwllnod/2021-02-08-AIpert-pwllnod.parquet,incomplete,896,4,1,FALSE
UMich-RidgeTfReg/2020-08-24-UMich-RidgeTfReg.parquet,incomplete,492,6,0,TRUE
AIpert-pwllnod/2021-02-15-AIpert-pwllnod.parquet,incomplete,896,4,1,FALSE
UMich-RidgeTfReg/2020-08-31-UMich-RidgeTfReg.parquet,incomplete,528,6,0,TRUE
AIpert-pwllnod/2021-02-22-AIpert-pwllnod.parquet,incomplete,880,4,1,FALSE
UMich-RidgeTfReg/2020-09-07-UMich-RidgeTfReg.parquet,incomplete,600,6,0,TRUE
AIpert-pwllnod/2021-03-01-AIpert-pwllnod.parquet,incomplete,896,4,1,FALSE
UMich-RidgeTfReg/2020-09-14-UMich-RidgeTfReg.parquet,incomplete,600,6,0,TRUE
AIpert-pwllnod/2021-03-08-AIpert-pwllnod.parquet,incomplete,896,4,1,FALSE
UMich-RidgeTfReg/2020-09-21-UMich-RidgeTfReg.parquet,incomplete,612,6,0,TRUE
AIpert-pwllnod/2021-03-15-AIpert-pwllnod.parquet,incomplete,896,4,1,FALSE
UMich-RidgeTfReg/2020-09-28-UMich-RidgeTfReg.parquet,incomplete,612,6,0,TRUE
AIpert-pwllnod/2021-03-22-AIpert-pwllnod.parquet,incomplete,896,4,1,FALSE
IowaStateLW-STEM/2020-04-26-IowaStateLW-STEM.parquet,incomplete,882,2,1,FALSE
UMich-RidgeTfReg/2020-10-05-UMich-RidgeTfReg.parquet,incomplete,612,6,0,TRUE
AIpert-pwllnod/2021-03-29-AIpert-pwllnod.parquet,incomplete,896,4,1,FALSE
IowaStateLW-STEM/2020-05-01-IowaStateLW-STEM.parquet,incomplete,900,2,1,FALSE
UMich-RidgeTfReg/2020-10-12-UMich-RidgeTfReg.parquet,incomplete,612,6,0,TRUE
AIpert-pwllnod/2021-04-05-AIpert-pwllnod.parquet,incomplete,896,4,1,FALSE
UMich-RidgeTfReg/2020-10-19-UMich-RidgeTfReg.parquet,incomplete,612,6,0,TRUE
AIpert-pwllnod/2021-04-12-AIpert-pwllnod.parquet,incomplete,896,4,1,FALSE
UMich-RidgeTfReg/2020-10-26-UMich-RidgeTfReg.parquet,incomplete,612,6,0,TRUE
AIpert-pwllnod/2021-04-19-AIpert-pwllnod.parquet,incomplete,896,2,1,FALSE
UMich-RidgeTfReg/2020-11-02-UMich-RidgeTfReg.parquet,incomplete,612,6,0,TRUE
AIpert-pwllnod/2021-04-26-AIpert-pwllnod.parquet,incomplete,896,4,1,FALSE
UMich-RidgeTfReg/2020-11-09-UMich-RidgeTfReg.parquet,incomplete,612,6,0,TRUE
AIpert-pwllnod/2021-05-03-AIpert-pwllnod.parquet,incomplete,896,4,1,FALSE
AIpert-pwllnod/2021-05-10-AIpert-pwllnod.parquet,incomplete,896,4,1,FALSE
AIpert-pwllnod/2021-05-17-AIpert-pwllnod.parquet,incomplete,896,4,1,FALSE
AIpert-pwllnod/2021-05-24-AIpert-pwllnod.parquet,incomplete,896,4,1,FALSE
AIpert-pwllnod/2021-05-31-AIpert-pwllnod.parquet,incomplete,896,4,1,FALSE
AIpert-pwllnod/2021-06-07-AIpert-pwllnod.parquet,incomplete,896,4,1,FALSE
AIpert-pwllnod/2021-06-14-AIpert-pwllnod.parquet,incomplete,896,4,1,FALSE
AIpert-pwllnod/2021-06-21-AIpert-pwllnod.parquet,incomplete,896,4,1,FALSE
USC-SI_kJalpha/2022-01-09-USC-SI_kJalpha.parquet,monotonic,6642,7,0,TRUE
