file,n_rows_in,n_qrows_dropped_inc_case,n_na_rows_dropped,n_rows_out,status
OliverWyman-Navigator/2020-07-26-OliverWyman-Navigator.parquet,26532,8274,0,18258,ok
OliverWyman-Navigator/2020-08-02-OliverWyman-Navigator.parquet,25956,7986,0,17970,ok
OliverWyman-Navigator/2020-08-09-OliverWyman-Navigator.parquet,25602,7809,0,17793,ok
OliverWyman-Navigator/2020-08-16-OliverWyman-Navigator.parquet,25104,7560,0,17544,ok
OliverWyman-Navigator/2020-08-23-OliverWyman-Navigator.parquet,24780,7398,0,17382,ok
OliverWyman-Navigator/2020-08-30-OliverWyman-Navigator.parquet,26328,8172,0,18156,ok
OliverWyman-Navigator/2020-09-06-OliverWyman-Navigator.parquet,26112,8064,0,18048,ok
OliverWyman-Navigator/2020-09-13-OliverWyman-Navigator.parquet,26646,8331,0,18315,ok
OliverWyman-Navigator/2020-09-20-OliverWyman-Navigator.parquet,27012,8514,0,18498,ok
OliverWyman-Navigator/2020-09-27-OliverWyman-Navigator.parquet,26916,8466,0,18450,ok
OliverWyman-Navigator/2020-10-04-OliverWyman-Navigator.parquet,27072,8544,0,18528,ok
OliverWyman-Navigator/2020-10-11-OliverWyman-Navigator.parquet,28086,9051,0,19035,ok
OliverWyman-Navigator/2020-10-18-OliverWyman-Navigator.parquet,28266,9141,0,19125,ok
OliverWyman-Navigator/2020-10-25-OliverWyman-Navigator.parquet,28344,9180,0,19164,ok
OliverWyman-Navigator/2020-11-01-OliverWyman-Navigator.parquet,28380,9198,0,19182,ok
OliverWyman-Navigator/2020-11-08-OliverWyman-Navigator.parquet,28458,9237,0,19221,ok
OliverWyman-Navigator/2020-11-15-OliverWyman-Navigator.parquet,28194,9105,0,19089,ok
OliverWyman-Navigator/2020-11-22-OliverWyman-Navigator.parquet,28548,9282,0,19266,ok
OliverWyman-Navigator/2020-11-29-OliverWyman-Navigator.parquet,28554,9285,0,19269,ok
OliverWyman-Navigator/2020-12-06-OliverWyman-Navigator.parquet,28686,9351,0,19335,ok
OliverWyman-Navigator/2020-12-13-OliverWyman-Navigator.parquet,28662,9339,0,19323,ok
OliverWyman-Navigator/2020-12-20-OliverWyman-Navigator.parquet,28608,9312,0,19296,ok
OliverWyman-Navigator/2020-12-27-OliverWyman-Navigator.parquet,28446,9231,0,19215,ok
OliverWyman-Navigator/2021-01-03-OliverWyman-Navigator.parquet,28506,9261,0,19245,ok
OliverWyman-Navigator/2021-01-10-OliverWyman-Navigator.parquet,28644,9330,0,19314,ok
OliverWyman-Navigator/2021-01-17-OliverWyman-Navigator.parquet,28464,9240,0,19224,ok
OliverWyman-Navigator/2021-01-24-OliverWyman-Navigator.parquet,28524,9270,0,19254,ok
OliverWyman-Navigator/2021-01-31-OliverWyman-Navigator.parquet,28320,9168,0,19152,ok
OliverWyman-Navigator/2021-02-07-OliverWyman-Navigator.parquet,28326,9171,0,19155,ok
OliverWyman-Navigator/2021-02-14-OliverWyman-Navigator.parquet,28128,9072,0,19056,ok
OliverWyman-Navigator/2021-02-21-OliverWyman-Navigator.parquet,27600,8808,0,18792,ok
OliverWyman-Navigator/2021-02-28-OliverWyman-Navigator.parquet,27630,8823,0,18807,ok
OliverWyman-Navigator/2021-03-07-OliverWyman-Navigator.parquet,26424,8316,0,18108,ok
OliverWyman-Navigator/2021-03-14-OliverWyman-Navigator.parquet,26724,8370,0,18354,ok
OliverWyman-Navigator/2021-03-21-OliverWyman-Navigator.parquet,27588,8802,0,18786,ok
OliverWyman-Navigator/2021-03-28-OliverWyman-Navigator.parquet,27774,8895,0,18879,ok
OliverWyman-Navigator/2021-04-04-OliverWyman-Navigator.parquet,27486,8847,0,18639,ok
OliverWyman-Navigator/2021-04-11-OliverWyman-Navigator.parquet,27738,8877,0,18861,ok
OliverWyman-Navigator/2021-04-18-OliverWyman-Navigator.parquet,27846,8931,0,18915,ok
OliverWyman-Navigator/2021-04-25-OliverWyman-Navigator.parquet,27594,8805,0,18789,ok
OliverWyman-Navigator/2021-05-02-OliverWyman-Navigator.parquet,27432,8724,0,18708,ok
OliverWyman-Navigator/2021-05-09-OliverWyman-Navigator.parquet,27594,8805,0,18789,ok
OliverWyman-Navigator/2021-05-16-OliverWyman-Navigator.parquet,27720,8868,0,18852,ok
OliverWyman-Navigator/2021-05-23-OliverWyman-Navigator.parquet,27420,8814,0,18606,ok
OliverWyman-Navigator/2021-05-30-OliverWyman-Navigator.parquet,27222,8619,0,18603,ok
OliverWyman-Navigator/2021-06-06-OliverWyman-Navigator.parquet,27144,8580,0,18564,ok
OliverWyman-Navigator/2021-06-13-OliverWyman-Navigator.parquet,26580,8298,9984,8298,ok
OliverWyman-Navigator/2021-06-20-OliverWyman-Navigator.parquet,26832,8424,9984,8424,ok
