file,ok,message
AIMdyn-SlidingKoopman.yml,TRUE,ok
AIpert-pwllnod.yml,TRUE,ok
AMM-EpiInvert.yml,TRUE,ok
Auquan-SEIR.yml,TRUE,ok
BPagano-RtDriven.yml,TRUE,ok
Caltech-CS156.yml,TRUE,ok
CDDEP-SEIR_MCMC.yml,TRUE,ok
CEID-Walk.yml,TRUE,ok
CEPH-Rtrend_covid.yml,TRUE,ok
cfa-wwrenewal.yml,TRUE,ok
CMU-TimeSeries.yml,TRUE,ok
Columbia_UNC-SurvCon.yml,TRUE,ok
Covid19Sim-Simulator.yml,TRUE,ok
CovidActNow-SEIR_CAN.yml,TRUE,ok
CovidAnalytics-DELPHI.yml,TRUE,ok
COVIDhub_CDC-ensemble.yml,TRUE,ok
COVIDhub-4_week_ensemble.yml,TRUE,ok
COVIDhub-baseline.yml,TRUE,ok
COVIDhub-ensemble.yml,TRUE,ok
COVIDhub-trained_ensemble.yml,TRUE,ok
CU-nochange.yml,TRUE,ok
CU-scenario_high.yml,TRUE,ok
CU-scenario_low.yml,TRUE,ok
CU-scenario_mid.yml,TRUE,ok
CU-select.yml,TRUE,ok
CUB_PopCouncil-SLSTM.yml,TRUE,ok
CUBoulder-COVIDLSTM.yml,TRUE,ok
CWRU-COVID_19Predict.yml,TRUE,ok
DDS-NBDS.yml,TRUE,ok
epiforecasts-ensemble1.yml,TRUE,ok
FAIR-NRAR.yml,TRUE,ok
FDANIHASU-Sweight.yml,TRUE,ok
FRBSF_Wilson-Econometric.yml,TRUE,ok
Geneva-DetGrowth.yml,TRUE,ok
Google_Harvard-CPF.yml,TRUE,ok
GT_CHHS-COVID19.yml,TRUE,ok
GT-DeepCOVID.yml,TRUE,ok
HKUST-DNN.yml,TRUE,ok
IBF-TimeSeries.yml,TRUE,ok
IEM_MED-CovidProject.yml,TRUE,ok
IHME-CurveFit.yml,TRUE,ok
Imperial-ensemble1.yml,TRUE,ok
Imperial-ensemble2.yml,TRUE,ok
IowaStateLW-STEM.yml,TRUE,ok
IQVIA_ACOE-STAN.yml,TRUE,ok
ISUandPKU-vSEIdR.yml,TRUE,ok
IUPUI-HkPrMobiDyR.yml,TRUE,ok
JBUD-HMXK.yml,TRUE,ok
JCB-PRM.yml,TRUE,ok
JHU_CSSE-DECOM.yml,TRUE,ok
JHU_IDD-CovidSP.yml,TRUE,ok
JHU_UNC_GAS-StatMechPool.yml,TRUE,ok
JHUAPL-Bucky.yml,TRUE,ok
JHUAPL-Gecko.yml,TRUE,ok
JHUAPL-Morris.yml,TRUE,ok
JHUAPL-SLPHospEns.yml,TRUE,ok
JHUAPLTDWG-ICATTML.yml,TRUE,ok
Karlen-pypm.yml,TRUE,ok
KITmetricslab-select_ensemble.yml,TRUE,ok
LANL-GrowthRate.yml,TRUE,ok
LNQ-ens1.yml,TRUE,ok
LosAlamos_NAU-CModel_SDVaxVar.yml,TRUE,ok
LUcompUncertLab-VAR_3streams.yml,TRUE,ok
Microsoft-DeepSTIA.yml,TRUE,ok
MIT_CritData-GBCF.yml,TRUE,ok
MIT_ISOLAT-Mixtures.yml,TRUE,ok
MIT-Cassandra.yml,TRUE,ok
MITCovAlliance-SIR.yml,TRUE,ok
MOBS-GLEAM_COVID.yml,TRUE,ok
MSRA-DeepST.yml,TRUE,ok
MUNI-ARIMA.yml,TRUE,ok
MUNI-VAR.yml,TRUE,ok
NCSU-COVSIM.yml,TRUE,ok
NotreDame-FRED.yml,TRUE,ok
NotreDame-mobility.yml,TRUE,ok
OHT_JHU-nbxd.yml,TRUE,ok
OHT-nbx.yml,TRUE,ok
OliverWyman-Navigator.yml,TRUE,ok
OneQuietNight-ML.yml,TRUE,ok
PandemicCentral-COVIDForest.yml,TRUE,ok
PandemicCentral-USCounty.yml,TRUE,ok
PR_UMD-CF_RepTiLe.yml,TRUE,ok
prolix-euclidean.yml,TRUE,ok
PSI-DICE.yml,TRUE,ok
PSI-DRAFT.yml,TRUE,ok
QJHong-Encounter.yml,TRUE,ok
Quantori-Multiagents.yml,TRUE,ok
RobertWalraven-ESG.yml,TRUE,ok
RPI_UW-Mob_Collision.yml,TRUE,ok
SDSC_ISG-TrendModel.yml,TRUE,ok
SGroup-RandomForest.yml,TRUE,ok
SigSci-TS.yml,TRUE,ok
SteveMcConnell-CovidComplete.yml,TRUE,ok
