target_end_date,location,target,observation
2020-01-25,01,cum death,0
2020-01-25,02,cum death,0
2020-01-25,04,cum death,0
2020-01-25,05,cum death,0
2020-01-25,06,cum death,0
2020-01-25,08,cum death,0
2020-01-25,09,cum death,0
2020-01-25,10,cum death,0
2020-01-25,11,cum death,0
2020-01-25,12,cum death,0
2020-01-25,13,cum death,0
2020-01-25,15,cum death,0
2020-01-25,16,cum death,0
2020-01-25,17,cum death,0
2020-01-25,18,cum death,0
2020-01-25,19,cum death,0
2020-01-25,20,cum death,0
2020-01-25,21,cum death,0
2020-01-25,22,cum death,0
2020-01-25,23,cum death,0
2020-01-25,24,cum death,0
2020-01-25,25,cum death,0
2020-01-25,26,cum death,0
2020-01-25,27,cum death,0
2020-01-25,28,cum death,0
2020-01-25,29,cum death,0
2020-01-25,30,cum death,0
2020-01-25,31,cum death,0
2020-01-25,32,cum death,0
2020-01-25,33,cum death,0
2020-01-25,34,cum death,0
2020-01-25,35,cum death,0
2020-01-25,36,cum death,0
2020-01-25,37,cum death,0
2020-01-25,38,cum death,0
2020-01-25,39,cum death,1
2020-01-25,40,cum death,0
2020-01-25,41,cum death,0
2020-01-25,42,cum death,0
2020-01-25,44,cum death,0
2020-01-25,45,cum death,0
2020-01-25,46,cum death,0
2020-01-25,47,cum death,0
2020-01-25,48,cum death,0
2020-01-25,49,cum death,0
2020-01-25,50,cum death,0
2020-01-25,51,cum death,0
2020-01-25,53,cum death,0
2020-01-25,54,cum death,0
2020-01-25,55,cum death,0
2020-01-25,56,cum death,0
2020-01-25,60,cum death,0
2020-01-25,66,cum death,0
2020-01-25,69,cum death,0
2020-01-25,72,cum death,0
2020-01-25,78,cum death,0
2020-01-25,US,cum death,1
2020-02-01,01,cum death,0
2020-02-01,02,cum death,0
2020-02-01,04,cum death,0
2020-02-01,05,cum death,0
2020-02-01,06,cum death,0
2020-02-01,08,cum death,0
2020-02-01,09,cum death,0
2020-02-01,10,cum death,0
2020-02-01,11,cum death,0
2020-02-01,12,cum death,0
2020-02-01,13,cum death,0
2020-02-01,15,cum death,0
2020-02-01,16,cum death,0
2020-02-01,17,cum death,0
2020-02-01,18,cum death,0
2020-02-01,19,cum death,0
2020-02-01,20,cum death,0
2020-02-01,21,cum death,0
2020-02-01,22,cum death,0
2020-02-01,23,cum death,0
2020-02-01,24,cum death,0
2020-02-01,25,cum death,0
2020-02-01,26,cum death,0
2020-02-01,27,cum death,0
2020-02-01,28,cum death,0
2020-02-01,29,cum death,0
2020-02-01,30,cum death,0
2020-02-01,31,cum death,0
2020-02-01,32,cum death,0
2020-02-01,33,cum death,0
2020-02-01,34,cum death,0
